item,question,action,subscale,factor_group,additional_calc
cbq44,Changes from being upset to feeling much better within a few minutes.,,falling_reactivity_soothability,negative_affectivity,8-x
cbq_45,Prepares for trips and outings by planning things s/he will need.,,inhibitory_control,effortful_control,
cbq46,Becomes very excited while planning for trips.,,approach_positive_anticipation,,
cbq_47,Is quickly aware of some new item in the living room.,,perceptual_sensitivity,effortful_control,
cbq_48,Hardly ever laughs out loud during play with other children.,reverse,smiling_laughter,,
cbq_49,Is not very upset at minor cuts or bruises.,reverse,discomfort,negative_affectivity,8-x
cbq_50,Prefers quiet activities to active games.,reverse,activity_level,surgency,
cbq_51,"Tends to say the first thing that comes to mind, without stopping to think about it.",,impulsivity,surgency,
cbq_52,Acts shy around new people.,,shyness,surgency,8-x
cbq_53,"Has trouble sitting still when s/he is told to (at movies, church, etc.).",reverse,inhibitory_control,effortful_control,
cbq54,Rarely cries when s/he hears a sad story.,reverse,sadness,negative_affectivity,8-x
cbq_55,Sometimes smiles or giggles playing by her/himself.,,smiling_laughter,,
cbq_56,Rarely becomes upset when watching a sad event in a TV show.,reverse,sadness,negative_affectivity,8-x
cbq_57,Enjoys just being talked to.,,low_intensity_pleasure,effortful_control,
cbq_58,"Becomes very excited before an outing (e.g., picnic, party).",,approach_positive_anticipation,,
cbq59,"If upset, cheers up quickly when s/he thinks about something else",,falling_reactivity_soothability,negative_affectivity,8-x
cbq_60,Is comfortable asking other children to play.,reverse,shyness,surgency,8-x
cbq_61,Rarely gets upset when told s/he has to go to bed.,reverse,anger_frustration,negative_affectivity,8-x
cbq_62,"When drawing or coloring in a book, shows strong concentration.",,attentional_focusing,effortful_control,
cbq_63,Is afraid of the dark.,,fear,negative_affectivity,8-x
cbq_64,Is likely to cry when even a little bit hurt.,,discomfort,negative_affectivity,8-x
cbq65,Enjoys looking at picture books.,,low_intensity_pleasure,effortful_control,
cbq66,Is easy to soothe when s/he is upset,,falling_reactivity_soothability,negative_affectivity,8-x
cbq67,Is good at following instructions.,,inhibitory_control,effortful_control,
cbq_68,Is rarely frightened by 'monsters' seen on TV or at movies.,reverse,fear,negative_affectivity,8-x
cbq69,Likes to go high and fast when pushed on a swing.,,high_intensity_pleasure,surgency,
cbq70,Sometimes turns away shyly from new acquaintances,,shyness,surgency,8-x
cbq_71,"When building or putting something together, becomes very involved in what s/he is doing, and works for long periods.",,attentional_focusing,effortful_control,
cbq72,Likes being sung to.,,low_intensity_pleasure,effortful_control,
cbq_73,Approaches places s/he has been told are dangerous slowly and cautiously.,,inhibitory_control,effortful_control,
cbq_74,Rarely becomes discouraged when s/he has trouble making something work.,reverse,sadness,negative_affectivity,8-x
cbq_75,Is very difficult to soothe when s/he has become upset.,reverse,falling_reactivity_soothability,negative_affectivity,8-x
cbq_76,"Likes the sound of words, such as nursery rhymes.",,low_intensity_pleasure,effortful_control,
cbq_77,Smiles a lot at people s/he likes.,,smiling_laughter,,
cbq_78,Dislikes rough and rowdy games.,reverse,high_intensity_pleasure,surgency,
cbq_79,Often laughs out loud in play with other children.,,smiling_laughter,,
cbq_80,Rarely laughs aloud while watching TV or movie comedies.,reverse,smiling_laughter,,
cbq_81,Can easily stop an activity when s/he is told 'no.',,inhibitory_control,effortful_control,
cbq_82,Is among the last children to try out a new activity.,reverse,impulsivity,surgency,
cbq_83,"Doesn't usually notice odors such as perfume, smoke, cooking, etc.",reverse,perceptual_sensitivity,effortful_control,
cbq_84,Is easily distracted when listening to a story.,reverse,attentional_focusing,effortful_control,
cbq_85,"Is full of energy, even in the evening.",,activity_level,surgency,
cbq86,Enjoys sitting on parent's lap.,,low_intensity_pleasure,effortful_control,
cbq87,Gets angry when called in from play before s/he is ready to quit.,,anger_frustration,negative_affectivity,8-x
cbq_88,Enjoys riding a tricycle or bicycle fast and recklessly.,,high_intensity_pleasure,surgency,
cbq_89,Sometimes becomes absorbed in a picture book and looks at it for a long time.,,attentional_focusing,effortful_control,
cbq_90,Remains pretty calm about upcoming desserts like ice cream.,reverse,approach_positive_anticipation,,
cbq_91,Hardly ever complains when ill with a cold.,reverse,discomfort,negative_affectivity,8-x
cbq_92,"Looks forward to family outings, but does not get too excited about them.",reverse,approach_positive_anticipation,,
cbq93,Likes to sit quietly and watch people do things.,reverse,activity_level,surgency,
cbq_94,"Enjoys gentle rhythmic activities, such as rocking or swaying.",,low_intensity_pleasure,effortful_control,
